County,State,Population_2018,Population_Density_Per_Square_Mile,Unemployment_rate_2018,Median_Household_Income_2018,Total_Male,Total_Female,Total_age0to17,Male_age0to17,Female_age0to17,Total_age18to64,Male_age18to64,Female_age18to64,Total_age65plus,Male_age65plus,Female_age65plus,Total_age85plusr,Male_age85plusr,Female_age85plusr,ICU_Beds,Aggregate_Transit_Score,cases,deaths
United States,US,327167434,87.4,3.9,61937,161128679,166038755,73399342,37490849,35908493,201336899,100331012,101005887,52431193,23306818,29124375,6544503,2325693,4218810,,,,
Autauga,AL,55601,91.8,3.6,59338,26995,28606,13163,6726,6437,33785,16482,17303,8653,3787,4866,871,329,542,6,0,4434,152
Baldwin,AL,218022,114.6,3.6,57588,105657,112365,47110,23810,23300,126341,61166,65175,44571,20681,23890,4304,1755,2549,51,368329051,10465,278
Barbour,AL,24881,31,5.2,34382,13133,11748,5192,2630,2562,14857,8414,6443,4832,2089,2743,472,148,324,5,0,3157,33
Bibb,AL,22400,36.8,4,46064,11921,10479,4587,2399,2188,14123,7895,6228,3690,1627,2063,363,108,255,0,158361697,2291,24
Blount,AL,57840,88.9,3.5,50412,28500,29340,13392,6707,6685,33900,17042,16858,10548,4751,5797,1032,371,661,6,0,2082,15
Bullock,AL,10138,17.5,4.7,29267,5527,4611,2137,1094,1043,6340,3717,2623,1661,716,945,184,53,131,0,0,2428,44
Butler,AL,19680,27,4.8,37365,9165,10515,4378,2319,2059,11307,5212,6095,3995,1634,2361,585,137,448,7,0,8409,260
Calhoun,AL,114277,195.7,4.7,45400,54914,59363,24695,12598,12097,69335,33731,35604,20247,8585,11662,2111,631,1480,24,848042143,5950,133
Chambers,AL,33615,57.4,3.9,39917,16093,17522,6992,3572,3420,20061,9733,10328,6562,2788,3774,749,198,551,0,0,16336,1049
Cherokee,AL,26032,46.9,3.6,42132,12896,13136,4990,2533,2457,15062,7574,7488,5980,2789,3191,536,184,352,0,0,1121,23
Chilton,AL,44153,63,3.6,47547,21668,22485,10491,5224,5267,26251,13074,13177,7411,3370,4041,769,297,472,6,0,3453,40
Choctaw,AL,12841,15.2,5.5,39907,6070,6771,2567,1338,1229,7321,3445,3876,2953,1287,1666,353,132,221,0,0,3468,89
Clarke,AL,23920,20.9,7.5,40741,11328,12592,5195,2612,2583,13972,6629,7343,4753,2087,2666,592,189,403,0,123462187,3027,60
Clay,AL,13275,23.1,3.9,39201,6492,6783,2688,1413,1275,7836,3848,3988,2751,1231,1520,312,120,192,4,0,1247,57
Cleburne,AL,14987,26.7,4.2,46495,7421,7566,3412,1791,1621,8660,4313,4347,2915,1317,1598,339,107,232,0,0,757,43
Coffee,AL,51909,73.6,3.9,55122,25521,26388,12280,6318,5962,30828,15357,15471,8801,3846,4955,970,316,654,7,0,6753,23
Colbert,AL,54762,91.8,4.6,49055,26259,28503,11370,5734,5636,32478,15778,16700,10914,4747,6167,1286,492,794,22,0,3408,94
Conecuh,AL,12277,15.6,5.2,32613,5881,6396,2550,1258,1292,6965,3361,3604,2762,1262,1500,325,137,188,0,0,804,11
Coosa,AL,10715,17.7,4.2,42423,5399,5316,1777,931,846,6457,3301,3156,2481,1167,1314,270,101,169,0,0,1593,49
