,County,State,Mean Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count
0,Washington,MS,30834.0,47086.0,36.9,19884.0,15496.0,3041.0
1,Perry,MS,39007.0,12028.0,40.9,21611.0,2231.0,337.0
2,Choctaw,MS,37203.0,8321.0,44.0,20589.0,1888.0,301.0
3,Itawamba,MS,40510.0,23480.0,40.0,20629.0,3428.0,414.0
4,Carroll,MS,43060.0,10129.0,47.0,22567.0,1477.0,377.0
5,Grenada,MS,36877.0,21278.0,39.8,21668.0,5090.0,617.0
6,Jefferson,MS,20188.0,7346.0,39.3,13374.0,3418.0,152.0
7,Greene,MS,49447.0,13714.0,39.1,17453.0,1475.0,394.0
8,Marshall,MS,41572.0,35787.0,40.2,21352.0,6148.0,1006.0
9,Quitman,MS,25510.0,7372.0,38.4,15353.0,2549.0,794.0
10,Bolivar,MS,29912.0,32592.0,35.2,17713.0,10723.0,1267.0
11,Lamar,MS,58188.0,61223.0,35.4,28934.0,10049.0,2964.0
12,Lee,MS,47978.0,84915.0,37.2,25467.0,13280.0,2632.0
13,Pike,MS,30910.0,39737.0,37.3,17954.0,13040.0,1106.0
14,Tallahatchie,MS,30028.0,14361.0,34.6,14943.0,3357.0,634.0
15,Smith,MS,41657.0,16063.0,40.1,23164.0,2697.0,232.0
16,Stone,MS,44883.0,18375.0,37.5,21931.0,3019.0,401.0
17,Warren,MS,43039.0,47075.0,38.8,23793.0,9594.0,1509.0
18,Clarke,MS,39246.0,15928.0,42.1,22422.0,3039.0,564.0
19,Kemper,MS,28176.0,10107.0,41.8,15518.0,2760.0,260.0
20,Montgomery,MS,33667.0,10198.0,42.1,22913.0,2748.0,445.0
21,Oktibbeha,MS,38800.0,49481.0,25.8,22136.0,13304.0,2279.0
22,Pearl River,MS,45820.0,55149.0,40.9,23135.0,8633.0,1988.0
23,Leake,MS,33482.0,22870.0,36.6,17960.0,5731.0,1053.0
24,Noxubee,MS,36000.0,10828.0,36.4,17637.0,3114.0,454.0
25,Neshoba,MS,36875.0,29376.0,36.8,19641.0,6826.0,1129.0
26,Rankin,MS,64557.0,151240.0,37.4,29874.0,11957.0,3253.0
27,Tate,MS,51056.0,28493.0,37.6,23542.0,5194.0,987.0
28,Lawrence,MS,42290.0,12630.0,40.3,21809.0,2444.0,460.0
29,Panola,MS,36563.0,34243.0,37.8,19972.0,7107.0,983.0
30,Yalobusha,MS,41864.0,12421.0,42.6,21140.0,1978.0,253.0
31,Chickasaw,MS,35939.0,17279.0,36.8,19556.0,3576.0,411.0
32,Copiah,MS,40361.0,28721.0,38.2,19434.0,6662.0,1250.0
33,George,MS,48319.0,23710.0,36.3,21105.0,3397.0,843.0
34,Hinds,MS,43005.0,241774.0,34.4,23114.0,51764.0,11027.0
35,Newton,MS,33831.0,21524.0,36.6,21600.0,5446.0,612.0
36,Union,MS,41287.0,28356.0,38.2,20088.0,4361.0,821.0
37,Sharkey,MS,28799.0,4511.0,42.1,17877.0,1143.0,295.0
38,Tippah,MS,39839.0,21990.0,39.4,20180.0,4264.0,743.0
39,Forrest,MS,40675.0,75517.0,32.4,22042.0,17973.0,3634.0
40,Hancock,MS,47543.0,46653.0,44.0,26659.0,8316.0,1690.0
41,Lafayette,MS,47132.0,53459.0,29.9,26154.0,11490.0,1785.0
42,Issaquena,MS,25776.0,1328.0,40.1,18942.0,439.0,57.0
43,Lowndes,MS,45355.0,59437.0,37.1,24499.0,12759.0,2435.0
44,Leflore,MS,26052.0,29804.0,33.8,16861.0,11143.0,1165.0
45,Wilkinson,MS,26599.0,8990.0,37.5,13231.0,2587.0,303.0
46,Harrison,MS,45566.0,202626.0,36.0,24445.0,39694.0,8925.0
47,Jefferson Davis,MS,30083.0,11495.0,44.3,19233.0,3059.0,459.0
48,Lincoln,MS,40355.0,34432.0,38.6,21892.0,7458.0,1025.0
49,Scott,MS,33735.0,28415.0,36.5,21640.0,8123.0,978.0
50,Winston,MS,36214.0,18358.0,41.6,24538.0,4120.0,644.0
51,Yazoo,MS,31402.0,27974.0,35.7,18866.0,7609.0,1426.0
52,Benton,MS,35974.0,8253.0,40.4,20363.0,1910.0,273.0
53,Franklin,MS,40810.0,7757.0,42.1,22769.0,1264.0,186.0
54,Jasper,MS,35931.0,16529.0,40.6,21929.0,3810.0,404.0
55,Jones,MS,41263.0,68454.0,37.2,22836.0,14321.0,1910.0
56,Monroe,MS,40940.0,35840.0,41.2,23158.0,6368.0,984.0
57,Sunflower,MS,30029.0,26532.0,35.3,15464.0,7047.0,1562.0
58,Webster,MS,40683.0,9828.0,39.8,21109.0,2482.0,200.0
59,Adams,MS,29203.0,31547.0,41.0,17851.0,9930.0,1161.0
60,Clay,MS,35121.0,19808.0,39.5,21076.0,4548.0,965.0
61,Covington,MS,35931.0,19091.0,37.7,18353.0,4579.0,800.0
62,Humphreys,MS,28507.0,8539.0,38.0,16604.0,3215.0,632.0
63,Saline,MO,43201.0,23102.0,38.0,22802.0,3553.0,432.0
64,Madison,MO,41322.0,12205.0,42.1,22119.0,1854.0,217.0
65,Wright,MO,32752.0,18293.0,42.0,19909.0,4460.0,585.0
66,Vernon,MO,43379.0,20691.0,40.9,24388.0,2719.0,364.0
67,Nodaway,MO,43349.0,22547.0,29.2,22151.0,4543.0,443.0
68,Chariton,MO,46992.0,7546.0,45.5,24470.0,871.0,106.0
69,Grundy,MO,42574.0,10039.0,40.8,23249.0,1591.0,168.0
70,Morgan,MO,37727.0,20137.0,46.1,21265.0,4541.0,292.0
71,Wayne,MO,34391.0,13308.0,47.3,18759.0,3145.0,420.0
72,Bollinger,MO,42985.0,12281.0,44.1,20949.0,2074.0,236.0
73,Cape Girardeau,MO,51730.0,78324.0,36.6,26546.0,12800.0,2041.0
74,Shelby,MO,44051.0,6061.0,41.5,23501.0,870.0,105.0
75,Webster,MO,47421.0,38082.0,37.1,21682.0,6207.0,767.0
76,Atchison,MO,48385.0,5270.0,48.3,29009.0,530.0,90.0
77,Bates,MO,46186.0,16374.0,41.8,27035.0,1973.0,350.0
78,Benton,MO,38028.0,18989.0,53.3,23984.0,3584.0,589.0
79,Carter,MO,39415.0,6197.0,41.0,21884.0,1057.0,186.0
80,Dade,MO,39979.0,7590.0,46.4,21538.0,1663.0,291.0
81,Linn,MO,43642.0,12186.0,42.1,24150.0,1811.0,157.0
82,Howell,MO,36143.0,40102.0,40.6,20873.0,8738.0,789.0
83,Johnson,MO,53056.0,53689.0,30.1,24146.0,7536.0,1314.0
84,Laclede,MO,46192.0,35507.0,40.4,21577.0,5241.0,1109.0
85,Maries,MO,44436.0,8884.0,45.0,23729.0,1430.0,274.0
86,Phelps,MO,42846.0,44789.0,35.2,24304.0,9293.0,1226.0
87,Platte,MO,76912.0,98824.0,38.3,39427.0,6701.0,2028.0
88,St. Francois,MO,45774.0,66342.0,39.6,22575.0,9656.0,1630.0
89,Andrew,MO,55683.0,17403.0,42.4,28027.0,1477.0,276.0
90,Carroll,MO,42149.0,8843.0,43.1,24597.0,1370.0,346.0
91,Daviess,MO,50380.0,8302.0,40.5,24081.0,1048.0,115.0
92,Knox,MO,40383.0,3951.0,44.0,22020.0,741.0,113.0
93,Marion,MO,46762.0,28672.0,39.1,23589.0,5036.0,712.0
94,Osage,MO,58476.0,13619.0,40.3,26037.0,953.0,174.0
95,Ripley,MO,33343.0,13693.0,42.7,17502.0,3633.0,374.0
96,Warren,MO,57948.0,33908.0,40.1,27523.0,4486.0,897.0
97,Audrain,MO,43761.0,25735.0,39.7,21819.0,3589.0,827.0
98,Christian,MO,57019.0,84275.0,37.9,27024.0,8468.0,1778.0
99,Greene,MO,44808.0,288429.0,36.0,26378.0,49504.0,6408.0
100,Harrison,MO,40168.0,8554.0,43.0,20986.0,1547.0,178.0
101,St. Clair,MO,38470.0,9383.0,49.9,22672.0,1591.0,154.0
102,Adair,MO,40046.0,25325.0,27.7,22000.0,5970.0,751.0
103,Scotland,MO,42965.0,4898.0,37.5,23809.0,753.0,110.0
104,Sullivan,MO,42604.0,6317.0,42.6,21661.0,1080.0,84.0
105,Clark,MO,47955.0,6800.0,43.9,28537.0,889.0,123.0
106,Jefferson,MO,63030.0,223302.0,39.0,28844.0,22663.0,6624.0
107,Lewis,MO,47764.0,10027.0,40.3,22602.0,1440.0,123.0
108,New Madrid,MO,35399.0,17811.0,41.7,20638.0,4005.0,629.0
109,Perry,MO,54964.0,19146.0,40.6,24710.0,1535.0,359.0
110,Ralls,MO,55546.0,10217.0,45.0,26536.0,1258.0,234.0
111,Ray,MO,59857.0,22825.0,41.8,27768.0,3344.0,563.0
112,St. Louis,MO,65300.0,998684.0,40.3,39784.0,94394.0,27141.0
113,Stone,MO,46443.0,31527.0,53.3,27792.0,3930.0,866.0
114,Barry,MO,41463.0,35493.0,43.5,21960.0,7346.0,721.0
115,Boone,MO,54043.0,176515.0,30.8,29365.0,30607.0,4162.0
116,Cedar,MO,39412.0,13938.0,44.3,22434.0,2537.0,520.0
117,Crawford,MO,38036.0,24280.0,41.7,21107.0,4667.0,1058.0
118,Iron,MO,37188.0,10221.0,45.4,20696.0,2064.0,302.0
119,Livingston,MO,47885.0,15076.0,40.3,23083.0,2267.0,154.0
120,Moniteau,MO,54828.0,15958.0,37.9,22445.0,1929.0,365.0
121,Oregon,MO,32534.0,10699.0,46.8,18103.0,2493.0,125.0
122,Dunklin,MO,34186.0,30428.0,39.9,19818.0,8001.0,930.0
123,Pettis,MO,44382.0,42371.0,37.9,22897.0,7114.0,1173.0
124,Ste. Genevieve,MO,56234.0,17871.0,43.4,28578.0,2571.0,398.0
125,Randolph,MO,46610.0,24945.0,39.1,20836.0,3507.0,624.0
126,Franklin,MO,55312.0,102781.0,40.8,28773.0,10999.0,2246.0
127,Howard,MO,50372.0,10113.0,39.3,23328.0,1413.0,205.0
128,Jackson,MO,52805.0,692003.0,36.7,30237.0,103216.0,18308.0
129,Miller,MO,42718.0,25049.0,40.8,23408.0,4400.0,674.0
130,Pulaski,MO,51665.0,52591.0,27.7,22018.0,6236.0,1583.0
131,Putnam,MO,37367.0,4815.0,46.4,22607.0,859.0,102.0
132,Taney,MO,41487.0,54720.0,42.1,22106.0,9144.0,1513.0
133,Texas,MO,35277.0,25671.0,42.7,19485.0,5874.0,870.0
134,Buchanan,MO,50457.0,89076.0,37.4,25419.0,14655.0,2266.0
135,Caldwell,MO,48033.0,9049.0,42.6,24238.0,1298.0,100.0
136,Callaway,MO,55376.0,44840.0,38.6,25069.0,4737.0,701.0
137,Cass,MO,67659.0,102678.0,39.8,31675.0,9959.0,2281.0
138,Clinton,MO,58510.0,20475.0,40.7,28216.0,2153.0,494.0
139,Cooper,MO,48750.0,17622.0,39.0,22895.0,1899.0,378.0
140,Dallas,MO,41551.0,16499.0,43.5,22096.0,2445.0,335.0
141,Gentry,MO,42689.0,6665.0,41.5,21059.0,1129.0,112.0
142,Hickory,MO,36190.0,9368.0,55.0,20646.0,1612.0,228.0
143,Lincoln,MO,61628.0,55563.0,37.0,25472.0,6915.0,1143.0
144,Mississippi,MO,32846.0,13748.0,40.4,18462.0,2996.0,374.0
145,Monroe,MO,43973.0,8654.0,45.4,24625.0,1201.0,157.0
146,Newton,MO,49023.0,58202.0,39.7,26996.0,7924.0,1114.0
147,Ozark,MO,32601.0,9236.0,51.3,18818.0,2384.0,241.0
148,Pike,MO,45753.0,18489.0,39.1,22302.0,2256.0,357.0
149,St. Charles,MO,81411.0,389985.0,38.2,37229.0,21444.0,7188.0
150,Custer,MT,55841.0,11845.0,40.7,30123.0,1113.0,133.0
151,Hill,MT,47141.0,16439.0,34.5,23017.0,3098.0,482.0
152,Powder River,MT,52457.0,1619.0,53.0,30969.0,164.0,13.0
153,Park,MT,49194.0,16246.0,46.2,32133.0,2007.0,242.0
154,Roosevelt,MT,42904.0,11228.0,30.3,18813.0,3087.0,528.0
155,Blaine,MT,38083.0,6727.0,33.8,18155.0,1961.0,462.0
156,Liberty,MT,47419.0,2280.0,49.1,45587.0,322.0,6.0
157,Richland,MT,67272.0,11360.0,38.9,31849.0,609.0,151.0
158,Teton,MT,51862.0,6080.0,44.6,27402.0,797.0,50.0
159,Toole,MT,46823.0,4976.0,41.2,26434.0,645.0,19.0
160,Fallon,MT,60750.0,2838.0,39.3,34329.0,266.0,35.0
161,Daniels,MT,54750.0,1753.0,50.7,34799.0,72.0,14.0
162,Judith Basin,MT,45764.0,1951.0,52.2,29827.0,268.0,33.0
163,Silver Bow,MT,42237.0,34814.0,39.8,26224.0,6464.0,862.0
164,Deer Lodge,MT,41783.0,9100.0,48.5,25742.0,1634.0,115.0
165,Jefferson,MT,66867.0,11778.0,47.9,32133.0,1018.0,275.0
166,McCone,MT,47500.0,1630.0,50.1,27365.0,124.0,2.0
167,Wheatland,MT,41186.0,2149.0,40.4,21442.0,365.0,34.0
168,Rosebud,MT,56549.0,9250.0,36.4,23471.0,1707.0,333.0
169,Carter,MT,44196.0,1318.0,50.5,32001.0,173.0,14.0
170,Dawson,MT,59820.0,9191.0,40.5,32501.0,830.0,74.0
171,Broadwater,MT,56469.0,5834.0,46.9,32362.0,400.0,176.0
172,Lake,MT,45488.0,29774.0,42.3,24912.0,6184.0,794.0
173,Pondera,MT,45458.0,6044.0,40.5,24392.0,1186.0,190.0
174,Yellowstone,MT,59117.0,157816.0,38.2,33007.0,15259.0,2867.0
175,Ravalli,MT,48930.0,41902.0,48.8,27766.0,5924.0,1130.0
176,Valley,MT,55882.0,7532.0,44.4,28899.0,670.0,225.0
177,Fergus,MT,50327.0,11273.0,46.0,29237.0,1534.0,137.0
178,Mineral,MT,41905.0,4211.0,52.6,23744.0,705.0,115.0
179,Petroleum,MT,44688.0,432.0,52.1,32565.0,35.0,7.0
180,Sanders,MT,36984.0,11521.0,53.2,23822.0,2210.0,373.0
181,Flathead,MT,52966.0,98082.0,42.1,30068.0,11368.0,1833.0
182,Wibaux,MT,50202.0,1175.0,46.0,23137.0,180.0,12.0
183,Meagher,MT,43109.0,1968.0,45.9,23972.0,292.0,17.0
184,Carbon,MT,57538.0,10546.0,50.3,32553.0,1061.0,200.0
185,Phillips,MT,46222.0,4124.0,47.2,23533.0,603.0,127.0
186,Adams,NE,51536.0,31583.0,37.4,28783.0,3900.0,545.0
187,Lancaster,NE,58009.0,310094.0,33.3,30929.0,38952.0,5979.0
188,Boone,NE,54063.0,5313.0,44.6,30680.0,316.0,49.0
189,Rock,NE,52604.0,1350.0,50.9,34441.0,96.0,3.0
190,Banner,NE,59625.0,696.0,48.5,34670.0,67.0,5.0
191,Sherman,NE,51172.0,3042.0,49.9,27380.0,339.0,28.0
192,Richardson,NE,48096.0,8009.0,48.0,28965.0,1036.0,142.0
193,Howard,NE,54399.0,6405.0,43.1,26651.0,672.0,112.0
194,Holt,NE,57468.0,10245.0,43.2,29975.0,849.0,62.0
195,Furnas,NE,47989.0,4786.0,46.5,27031.0,507.0,52.0
196,Gosper,NE,62545.0,2015.0,50.4,34731.0,101.0,33.0
197,Saline,NE,51143.0,14288.0,35.8,22943.0,1798.0,226.0
198,Sarpy,NE,79549.0,178351.0,34.4,34928.0,9521.0,2937.0
199,Thurston,NE,48149.0,7140.0,27.8,20396.0,1992.0,465.0
200,Washington,NE,70753.0,20219.0,41.4,34178.0,1611.0,254.0
201,Boyd,NE,50729.0,2042.0,52.3,27951.0,213.0,15.0
202,Cherry,NE,53684.0,5790.0,43.6,27605.0,597.0,52.0
203,Dodge,NE,53101.0,36683.0,39.0,27494.0,4862.0,908.0
204,Fillmore,NE,55625.0,5574.0,47.7,32631.0,533.0,59.0
205,Garden,NE,44471.0,1860.0,50.3,33572.0,165.0,12.0
206,Hooker,NE,39115.0,691.0,55.9,25791.0,112.0,1.0
207,Morrill,NE,45121.0,4841.0,42.5,26461.0,408.0,140.0
208,Nemaha,NE,51922.0,7004.0,39.3,27945.0,801.0,159.0
209,Seward,NE,67591.0,17127.0,37.9,30694.0,1176.0,190.0
210,Thomas,NE,50682.0,645.0,41.1,28701.0,69.0,6.0
211,Dakota,NE,55017.0,20317.0,33.8,24365.0,3312.0,582.0
212,Webster,NE,42298.0,3571.0,45.2,26970.0,383.0,42.0
213,Antelope,NE,48716.0,6372.0,45.3,26406.0,790.0,65.0
214,Butler,NE,55562.0,8067.0,43.9,28776.0,590.0,136.0
215,Clay,NE,56316.0,6232.0,42.5,27297.0,699.0,112.0
216,Custer,NE,49891.0,10830.0,43.2,33294.0,1189.0,165.0
217,Gage,NE,51662.0,21595.0,44.0,28438.0,2079.0,383.0
218,Hamilton,NE,64042.0,9178.0,41.5,32086.0,443.0,123.0
219,Kearney,NE,56952.0,6552.0,40.1,30355.0,682.0,100.0
220,Keith,NE,48901.0,8099.0,49.5,28410.0,940.0,160.0
221,Madison,NE,52857.0,35164.0,36.8,27528.0,5393.0,575.0
222,Perkins,NE,62469.0,2907.0,42.7,33749.0,159.0,17.0
223,Saunders,NE,66718.0,21024.0,40.8,32344.0,1752.0,271.0
224,Wayne,NE,62623.0,9367.0,31.8,27192.0,1150.0,105.0
225,Keya Paha,NE,49688.0,792.0,45.4,31406.0,48.0,0.0
226,Knox,NE,49752.0,8460.0,46.9,27372.0,899.0,139.0
227,Lincoln,NE,56794.0,35433.0,40.3,30073.0,4198.0,483.0
228,Pierce,NE,56620.0,7157.0,41.5,29509.0,507.0,91.0
229,Sioux,NE,46875.0,1266.0,47.0,26951.0,135.0,7.0
230,Cass,NE,71139.0,25702.0,41.6,33178.0,1623.0,405.0
231,Dixon,NE,56775.0,5746.0,42.0,26757.0,707.0,100.0
232,Dundy,NE,44350.0,2023.0,42.3,25790.0,203.0,15.0
233,Greeley,NE,47128.0,2410.0,45.7,26159.0,226.0,17.0
234,Hall,NE,54742.0,61343.0,36.0,27421.0,7810.0,1481.0
