County,State,Population_2018,Population_Density_Per_Square_Mile,Unemployment_rate_2018,Median_Household_Income_2018,Total_Male,Total_Female,Total_age0to17,Male_age0to17,Female_age0to17,Total_age18to64,Male_age18to64,Female_age18to64,Total_age65plus,Male_age65plus,Female_age65plus,Total_age85plusr,Male_age85plusr,Female_age85plusr,ICU_Beds,Aggregate_Transit_Score
United States,US,327167434,87.4,3.9,61937.0,161128679.0,166038755.0,73399342.0,37490849.0,35908493.0,201336899.0,100331012.0,101005887.0,52431193.0,23306818.0,29124375.0,6544503.0,2325693.0,4218810.0,,
Alabama,AL,4887871,94.4,3.9,49881.0,,,,,,,,,,,,,,,,
Autauga,AL,55601,91.8,3.6,59338.0,26995.0,28606.0,13163.0,6726.0,6437.0,33785.0,16482.0,17303.0,8653.0,3787.0,4866.0,871.0,329.0,542.0,6.0,0.0
Baldwin,AL,218022,114.6,3.6,57588.0,105657.0,112365.0,47110.0,23810.0,23300.0,126341.0,61166.0,65175.0,44571.0,20681.0,23890.0,4304.0,1755.0,2549.0,51.0,368329051.0
Barbour,AL,24881,31.0,5.2,34382.0,13133.0,11748.0,5192.0,2630.0,2562.0,14857.0,8414.0,6443.0,4832.0,2089.0,2743.0,472.0,148.0,324.0,5.0,0.0
Bibb,AL,22400,36.8,4.0,46064.0,11921.0,10479.0,4587.0,2399.0,2188.0,14123.0,7895.0,6228.0,3690.0,1627.0,2063.0,363.0,108.0,255.0,0.0,158361697.0
Blount,AL,57840,88.9,3.5,50412.0,28500.0,29340.0,13392.0,6707.0,6685.0,33900.0,17042.0,16858.0,10548.0,4751.0,5797.0,1032.0,371.0,661.0,6.0,0.0
Bullock,AL,10138,17.5,4.7,29267.0,5527.0,4611.0,2137.0,1094.0,1043.0,6340.0,3717.0,2623.0,1661.0,716.0,945.0,184.0,53.0,131.0,0.0,0.0
Butler,AL,19680,27.0,4.8,37365.0,9165.0,10515.0,4378.0,2319.0,2059.0,11307.0,5212.0,6095.0,3995.0,1634.0,2361.0,585.0,137.0,448.0,7.0,0.0
Calhoun,AL,114277,195.7,4.7,45400.0,54914.0,59363.0,24695.0,12598.0,12097.0,69335.0,33731.0,35604.0,20247.0,8585.0,11662.0,2111.0,631.0,1480.0,24.0,848042143.0
Chambers,AL,33615,57.4,3.9,39917.0,16093.0,17522.0,6992.0,3572.0,3420.0,20061.0,9733.0,10328.0,6562.0,2788.0,3774.0,749.0,198.0,551.0,0.0,0.0
Cherokee,AL,26032,46.9,3.6,42132.0,12896.0,13136.0,4990.0,2533.0,2457.0,15062.0,7574.0,7488.0,5980.0,2789.0,3191.0,536.0,184.0,352.0,0.0,0.0
Chilton,AL,44153,63.0,3.6,47547.0,21668.0,22485.0,10491.0,5224.0,5267.0,26251.0,13074.0,13177.0,7411.0,3370.0,4041.0,769.0,297.0,472.0,6.0,0.0
Choctaw,AL,12841,15.2,5.5,39907.0,6070.0,6771.0,2567.0,1338.0,1229.0,7321.0,3445.0,3876.0,2953.0,1287.0,1666.0,353.0,132.0,221.0,0.0,0.0
Clarke,AL,23920,20.9,7.5,40741.0,11328.0,12592.0,5195.0,2612.0,2583.0,13972.0,6629.0,7343.0,4753.0,2087.0,2666.0,592.0,189.0,403.0,0.0,123462187.0
Clay,AL,13275,23.1,3.9,39201.0,6492.0,6783.0,2688.0,1413.0,1275.0,7836.0,3848.0,3988.0,2751.0,1231.0,1520.0,312.0,120.0,192.0,4.0,0.0
Cleburne,AL,14987,26.7,4.2,46495.0,7421.0,7566.0,3412.0,1791.0,1621.0,8660.0,4313.0,4347.0,2915.0,1317.0,1598.0,339.0,107.0,232.0,0.0,0.0
Coffee,AL,51909,73.6,3.9,55122.0,25521.0,26388.0,12280.0,6318.0,5962.0,30828.0,15357.0,15471.0,8801.0,3846.0,4955.0,970.0,316.0,654.0,7.0,0.0
Colbert,AL,54762,91.8,4.6,49055.0,26259.0,28503.0,11370.0,5734.0,5636.0,32478.0,15778.0,16700.0,10914.0,4747.0,6167.0,1286.0,492.0,794.0,22.0,0.0
Conecuh,AL,12277,15.6,5.2,32613.0,5881.0,6396.0,2550.0,1258.0,1292.0,6965.0,3361.0,3604.0,2762.0,1262.0,1500.0,325.0,137.0,188.0,0.0,0.0
Coosa,AL,10715,17.7,4.2,42423.0,5399.0,5316.0,1777.0,931.0,846.0,6457.0,3301.0,3156.0,2481.0,1167.0,1314.0,270.0,101.0,169.0,0.0,0.0
Covington,AL,36986,36.6,4.6,40203.0,17896.0,19090.0,8089.0,4138.0,3951.0,21107.0,10366.0,10741.0,7790.0,3392.0,4398.0,979.0,316.0,663.0,13.0,0.0
Crenshaw,AL,13824,22.8,4.1,39057.0,6674.0,7150.0,3160.0,1633.0,1527.0,8035.0,3898.0,4137.0,2629.0,1143.0,1486.0,303.0,84.0,219.0,0.0,0.0
