cases,deaths
1542,0
10380,587
21017,303
40601,930
8805,730
133627,5073
3621,94
6331,300
125,0
16633,206
7927,327
108397,3580
1449,106
69031,4353
5945,190
271,32
595,33
883,0
53787,1255
49,0
4609,186
6387,120
8122,458
793,20
78843,5438
53545,4322
1007,90
3402,283
104,0
424,0
933,41
934,4
1807,35
10638,241
13903,523
497,0
1106,0
5630,84
4832,42
114155,5308
27562,1296
1793,4
229,0
562,1
33942,640
301,129
4147,369
979,0
151,0
153066,9012
17,0
433,0
1195,42
136,0
63892,2792
2763,138
290,10
36880,2273
741,0
733,0
852,0
8801,904
841,76
10749,365
1181,52
732,0
405,63
873,52
63441,3691
69,0
8090,244
695,0
333,20
2138,138
2981,39
310,0
861,0
4434,152
23,0
4696,360
658,0
2302,70
205,0
2790,275
22407,860
389,0
187734,8786
153703,7214
732,0
267,0
1950,3
732,0
46,0
55,0
3495,72
211,0
53132,3232
1348,17
1228,10
491,0
9874,353
2475,59
16227,1108
1044,26
20456,1654
5429,105
367,49
276,32
331,0
13335,615
201,44
3119,120
17219,577
2483,163
23375,3077
58,0
884,0
250,0
12619,246
313,0
2355,0
11603,178
11348,379
449,0
1890,18
44,0
2931,54
32,0
32,0
50388,3037
178,0
872625,62344
19502,716
151718,8189
26979,1895
51866,2331
19985,1189
3204,120
76,0
93480,2836
18964,664
4452,790
439,0
126,0
253,0
56639,1005
649,52
2217,44
30338,298
1519,14
343,2
1142,0
23490,20
5862,180
3394,10
6203,422
234,0
278,0
421,46
236,0
1570,0
41806,2231
214,0
17154,958
1600,133
24,0
36142,2216
880,132
6090,483
55,0
59,0
1161,42
1864,155
980,0
455,0
4310,278
4247,91
3732,110
1519,100
91,0
31857,385
14891,917
187,0
577,25
2481,180
16443,454
31,0
30,0
232509,11654
2,0
128,0
266,0
168,0
683,0
2784,337
18154,1285
9141,737
299623,11376
80609,1158
3930,188
3614,228
18220,83
11051,51
182101,14463
6105,0
414,0
5965,119
3700,165
2127,93
2428,44
6637,319
630,27
12954,684
5349,0
779,0
161464,8510
1123,0
19,18
230,0
53564,1544
1307,0
7806,601
17077,704
2428,0
3320,7
99467,6681
716,0
24480,1674
7059,37
737,0
30311,1452
231,25
1397,56
1891,55
1721,22
10407,510
62,0
1929,96
221813,9844
25527,1004
991,0
8436,512
5605,160
461,0
697,0
14012,332
2745,71
20417,1498
11035,795
58,0
120,31
2934,0
8147,56
64191,4296
146,0
2898,85
1775,140
1705,154
4026,40
949,86
69,0
104352,1914
1064,62
1180,58
1588,24
3394,132
4539,102
3114,0
87,37
2953,45
2940,56
11854,597
2577,25
6110,157
986,11
3378,713
18925,1049
15619,341
308,0
35726,2376
962,41
400,0
27460,420
783,49
15770,1545
3496,105
867,21
112,0
34935,1289
811,0
840,89
2564,106
1609,65
3376,0
974,58
7680,384
6237,196
5648,52
36431,1190
58,0
16024,429
2213,108
90737,7593
42630,1129
532,0
4784,421
535,0
65,0
3453,40
2695,14
1214,59
24827,1784
4969,176
490,0
7957,436
237,42
4078,156
41,0
5726,568
13033,422
5287,421
1089,0
641,80
11760,1165
1213,58
297559,15285
17906,1213
1205,0
41945,2160
45786,1758
815,41
1217,0
143,0
5567,297
6244,167
27106,1739
1283,23
28942,1178
204,0
4077,139
13,0
105069,5588
2168,31
39,0
836,0
34745,2685
1036,0
17381,450
2760,366
27,0
3408,94
3063,59
59,0
2490,174
14771,51
2238,225
43393,1344
47335,1226
