County,State,cases,deaths
Unknown,OH,1,0
Unknown,MS,4,0
Unknown,IN,2,0
Unknown,PA,0,1
Unknown,SD,0,4
Unknown,HI,5,0
Unknown,KS,0,1
Unknown,WA,1,0
Unknown,MO,3,0
Unknown,NY,0,236
Unknown,CA,2,0
Unknown,IL,84,0
Unknown,KY,66,0
Unknown,OR,121,0
Unknown,AL,126,0
Unknown,NV,0,2
Unknown,ID,31,0
Unknown,CO,91,0
Unknown,NM,1,0
Harlan,NE,1,0
Modoc,CA,1,0
Garfield,NE,1,0
Unknown,AZ,0,1
Morrow,OH,107,1
Morgan,OH,5,0
Montgomery,OH,663,16
Meigs,OH,6,0
Miami,OH,357,30
Mercer,OH,211,7
Greene,OH,101,5
Monroe,OH,78,12
Muskingum,OH,52,0
Pickaway,OH,2074,37
Ottawa,OH,99,16
Paulding,OH,14,0
Perry,OH,18,1
Pike,OH,6,0
Portage,OH,325,57
Preble,OH,37,1
Putnam,OH,92,14
Richland,OH,200,3
Medina,OH,337,22
Noble,OH,6,0
Marion,OH,2666,28
Jefferson,OH,67,2
Madison,OH,156,7
Ross,OH,71,2
Guernsey,OH,35,1
Hamilton,OH,2672,150
Hancock,OH,50,1
Hardin,OH,61,0
Harrison,OH,10,0
Henry,OH,15,0
Highland,OH,25,1
Hocking,OH,69,4
Holmes,OH,39,1
Huron,OH,58,1
Jackson,OH,14,0
Knox,OH,25,1
Lake,OH,308,12
Lawrence,OH,30,0
Licking,OH,248,10
Logan,OH,39,0
Lorain,OH,687,59
Lucas,OH,2267,242
Mahoning,OH,1431,174
Sandusky,OH,79,11
Harper,OK,1,0
Seneca,OH,20,2
Cherokee,OK,29,1
Choctaw,OK,48,1
Cimarron,OK,1,0
Cleveland,OK,501,37
Coal,OK,1,0
Comanche,OK,281,3
Cotton,OK,5,2
Craig,OK,15,0
Creek,OK,94,7
Custer,OK,20,0
Delaware,OK,100,16
Dewey,OK,2,0
Garfield,OK,28,1
Garvin,OK,18,1
Grady,OK,97,3
Grant,OK,2,0
Greer,OK,66,7
Geauga,OH,284,32
Haskell,OK,6,0
Carter,OK,44,1
Canadian,OK,133,3
Caddo,OK,160,10
Bryan,OK,26,1
Shelby,OH,43,3
Stark,OH,727,91
Summit,OH,1420,173
Trumbull,OH,573,48
Tuscarawas,OH,343,4
Union,OH,52,1
Van Wert,OH,6,0
Vinton,OH,21,2
Warren,OH,373,21
Scioto,OH,16,0
Washington,OH,118,19
Williams,OH,55,1
Wood,OH,294,46
Wyandot,OH,41,2
Adair,OK,87,3
Alfalfa,OK,1,0
Atoka,OK,3,0
Beaver,OK,24,0
Beckham,OK,9,0
Blaine,OK,6,0
Wayne,OH,274,50
Gallia,OH,8,1
Pierce,ND,3,0
Franklin,OH,5862,262
Benson,ND,1,0
Bottineau,ND,2,0
Bowman,ND,1,0
Burke,ND,5,0
Burleigh,ND,128,0
Cass,ND,1705,50
Divide,ND,1,0
Dunn,ND,12,0
Eddy,ND,4,0
Emmons,ND,4,1
Foster,ND,1,0
Grand Forks,ND,333,3
Grant,ND,2,0
Griggs,ND,1,0
McHenry,ND,2,1
McIntosh,ND,1,0
McKenzie,ND,17,0
McLean,ND,7,0
Mercer,ND,5,0
Barnes,ND,4,0
Morton,ND,59,2
Yancey,NC,14,0
Wilson,NC,356,10
Hughes,OK,1,0
Rowan,NC,658,37
Rutherford,NC,182,7
Sampson,NC,479,4
Scotland,NC,85,0
Stanly,NC,78,4
Stokes,NC,67,0
Surry,NC,214,2
Swain,NC,13,0
Transylvania,NC,13,0
Tyrrell,NC,4,0
Union,NC,442,20
Vance,NC,317,21
Wake,NC,1747,39
Warren,NC,63,2
Washington,NC,29,3
Watauga,NC,23,0
Wayne,NC,1138,20
Wilkes,NC,497,5
Yadkin,NC,171,2
Mountrail,ND,39,0
Nelson,ND,1,0
Oliver,ND,1,0
Auglaize,OH,73,3
Belmont,OH,429,12
Brown,OH,29,1
Butler,OH,893,29
Carroll,OH,31,3
Champaign,OH,28,1
Clark,OH,285,6
Clermont,OH,211,5
Clinton,OH,43,1
Columbiana,OH,793,53
Coshocton,OH,40,0
Crawford,OH,114,4
Cuyahoga,OH,4444,226
Darke,OH,170,21
Defiance,OH,34,2
Delaware,OH,337,13
Erie,OH,172,14
Fairfield,OH,267,6
Fayette,OH,40,0
Athens,OH,18,1
Ashtabula,OH,339,34
Ashland,OH,20,0
Allen,OH,212,32
Pembina,ND,6,0
Ramsey,ND,8,1
Ransom,ND,8,0
Renville,ND,3,0
Richland,ND,22,0
Rolette,ND,6,0
Sargent,ND,3,0
Sioux,ND,2,0
Slope,ND,3,0
Fulton,OH,41,0
Stark,ND,62,2
Stutsman,ND,23,0
Traill,ND,13,0
Unknown,ND,3,3
Walsh,ND,13,0
Ward,ND,37,1
Wells,ND,3,0
Williams,ND,25,0
Unknown,Northern Mariana Islands,22,2
Adams,OH,10,1
Steele,ND,1,0
Jackson,OK,27,3
Marlboro,SC,171,1
Johnston,OK,3,0
Mercer,PA,107,5
Mifflin,PA,59,1
Monroe,PA,1319,101
Montgomery,PA,7061,684
Montour,PA,52,0
Northampton,PA,3083,210
Northumberland,PA,192,3
Perry,PA,59,3
Philadelphia,PA,22629,1316
Pike,PA,476,19
Potter,PA,4,0
Schuylkill,PA,631,34
Snyder,PA,45,1
Somerset,PA,38,1
Sullivan,PA,3,0
Susquehanna,PA,109,15
Tioga,PA,17,2
Union,PA,59,1
Venango,PA,9,0
McKean,PA,12,1
Warren,PA,3,0
Lycoming,PA,164,17
Lehigh,PA,3765,228
Crawford,PA,29,0
Cumberland,PA,629,50
Dauphin,PA,1277,73
Delaware,PA,6510,558
Elk,PA,6,0
Erie,PA,279,4
Fayette,PA,95,4
Forest,PA,7,0
Franklin,PA,774,35
Fulton,PA,15,1
Greene,PA,27,0
Huntingdon,PA,230,2
Indiana,PA,91,5
Jefferson,PA,9,0
Juniata,PA,95,4
Lackawanna,PA,1547,170
Lancaster,PA,3161,297
Lawrence,PA,80,8
Lebanon,PA,969,33
Luzerne,PA,2736,149
Washington,PA,139,5
Wayne,PA,119,8
Westmoreland,PA,449,38
Darlington,SC,295,10
Dillon,SC,165,3
Dorchester,SC,166,3
Edgefield,SC,51,2
Fairfield,SC,179,15
Florence,SC,655,38
Georgetown,SC,76,3
Greenville,SC,1619,57
Greenwood,SC,142,1
Hampton,SC,37,1
Horry,SC,432,25
Jasper,SC,42,2
Kershaw,SC,332,14
Lancaster,SC,135,5
Laurens,SC,67,4
Lee,SC,218,16
Lexington,SC,645,33
Marion,SC,69,5
Rockingham,NC,94,2
Colleton,SC,105,12
Clarendon,SC,301,39
Chesterfield,SC,196,4
Chester,SC,80,1
Wyoming,PA,34,7
York,PA,1007,26
Unknown,Puerto Rico,3776,136
Bristol,RI,224,11
Kent,RI,1052,68
Newport,RI,244,4
Providence,RI,11052,518
Unknown,RI,1857,66
Washington,RI,499,51
Columbia,PA,348,31
Abbeville,SC,42,0
Allendale,SC,35,3
Anderson,SC,239,9
Bamberg,SC,22,0
Barnwell,SC,46,1
Beaufort,SC,385,14
Berkeley,SC,233,16
Calhoun,SC,15,1
Charleston,SC,617,12
Cherokee,SC,39,2
Aiken,SC,197,7
Clinton,PA,56,3
Clearfield,PA,39,0
Clarion,PA,27,2
Payne,OK,45,1
Pittsburg,OK,41,3
Pontotoc,OK,13,2
Pottawatomie,OK,60,4
Pushmataha,OK,3,0
Rogers,OK,81,5
Seminole,OK,26,2
Sequoyah,OK,15,3
Stephens,OK,38,1
Texas,OK,925,5
Tillman,OK,23,1
Tulsa,OK,1014,54
Wagoner,OK,150,17
Washington,OK,317,35
Washita,OK,2,0
Woods,OK,3,0
Woodward,OK,5,0
Baker,OR,1,0
Benton,OR,55,5
Pawnee,OK,31,2
Ottawa,OK,35,2
Osage,OK,95,8
Okmulgee,OK,26,0
Kay,OK,53,7
Kingfisher,OK,11,0
Kiowa,OK,6,0
Latimer,OK,5,1
Le Flore,OK,14,1
Lincoln,OK,22,2
Logan,OK,19,1
Love,OK,16,0
Major,OK,6,1
Clackamas,OR,312,11
Marshall,OK,8,0
McClain,OK,105,3
McCurtain,OK,41,1
McIntosh,OK,11,1
Murray,OK,4,0
Muskogee,OK,48,6
Noble,OK,7,0
Nowata,OK,23,0
Okfuskee,OK,5,0
Oklahoma,OK,1281,61
Mayes,OK,30,4
Jefferson,OK,4,0
Clatsop,OR,45,0
Coos,OR,31,0
Wallowa,OR,2,0
Wasco,OR,24,1
Washington,OR,739,17
Yamhill,OR,70,7
Adams,PA,251,8
Allegheny,PA,1911,163
Armstrong,PA,62,4
Beaver,PA,590,73
Bedford,PA,39,2
Berks,PA,4061,317
Blair,PA,50,1
Bradford,PA,46,3
Bucks,PA,5082,503
Butler,PA,230,12
Cambria,PA,57,2
Cameron,PA,2,0
Carbon,PA,235,24
Centre,PA,153,7
Chester,PA,2769,281
Union,OR,6,0
Umatilla,OR,116,3
Tillamook,OR,6,0
Sherman,OR,1,0
Crook,OR,6,0
Curry,OR,7,0
Deschutes,OR,125,0
Douglas,OR,27,0
Grant,OR,1,0
Harney,OR,1,0
Hood River,OR,18,0
Jackson,OR,66,0
Jefferson,OR,33,0
Columbia,OR,16,0
Josephine,OR,23,1
Lake,OR,2,0
Lane,OR,73,3
Lincoln,OR,12,0
Linn,OR,115,9
Malheur,OR,32,0
Marion,OR,960,25
Morrow,OR,11,0
Multnomah,OR,1165,59
Polk,OR,98,12
Klamath,OR,44,0
Robeson,NC,824,22
Lewis,MO,7,1
Randolph,NC,664,13
Hamilton,NE,60,13
Hitchcock,NE,1,0
Holt,NE,1,0
Howard,NE,42,4
Jefferson,NE,6,0
Johnson,NE,6,0
Kearney,NE,11,0
Keith,NE,2,0
Kimball,NE,10,0
Knox,NE,9,0
Lancaster,NE,1212,9
